487,1
501,1
986,1
1259,1
1353,1
1369,1
1422,1
1542,1
1618,1
1711,1
2285,1
2514,1
2656,1
2759,1
2811,1
105,0
140,0
290,0
301,0
1019,0
1119,0
1181,0
1209,0
1301,0
1344,0
1390,0
1627,0
1640,0
1797,0
1923,0
336,5
928,5
1082,5
1225,5
1360,5
1978,5
2531,5
2541,5
2911,5
3067,5
3264,5
3319,5
3669,5
3927,5
4209,5
1,2
220,2
940,2
996,2
1009,2
1202,2
1214,2
1639,2
1656,2
1728,2
1840,2
1954,2
2013,2
2437,2
2759,2
68,3
250,3
337,3
606,3
1249,3
1302,3
1333,3
1346,3
1988,3
2285,3
2318,3
2649,3
2722,3
2769,3
2847,3
458,4
715,4
939,4
981,4
1136,4
1224,4
1589,4
1692,4
2195,4
2510,4
2967,4
3023,4
3090,4
3144,4
3445,4
1,6
341,6
356,6
445,6
521,6
692,6
952,6
1305,6
1675,6
2158,6
2709,6
2989,6
3022,6
3069,6
3133,6
